# simulation_num, region_value, pkeep, region_weights[region_value], value_clr, value_plr, value_paoi, value_aoi, value_pdr
1005.000000,25.000000,0.000000,0.169623,0.005425,0.001786,0.101117,0.057916,0.987326
1005.000000,75.000000,0.000000,0.164755,0.029276,0.007782,0.104533,0.068214,0.957680
1005.000000,125.000000,0.000000,0.148090,0.074682,0.047718,0.115254,0.096138,0.872228
1005.000000,175.000000,0.000000,0.133322,0.120084,0.131542,0.133189,0.147198,0.743152
1005.000000,225.000000,0.000000,0.113687,0.143958,0.282044,0.158652,0.216977,0.569115
1005.000000,275.000000,0.000000,0.094629,0.143594,0.429434,0.183362,0.285225,0.423126
1005.000000,325.000000,0.000000,0.066084,0.119611,0.588717,0.206179,0.348035,0.288787
1005.000000,375.000000,0.000000,0.043891,0.089778,0.730966,0.232135,0.417939,0.177366
1005.000000,425.000000,0.000000,0.030526,0.074509,0.793138,0.251257,0.458358,0.130819
1005.000000,475.000000,0.000000,0.016748,0.046976,0.878314,0.267423,0.493651,0.073819
1005.000000,525.000000,0.000000,0.008250,0.025008,0.937759,0.294973,0.536199,0.036799
1005.000000,575.000000,0.000000,0.004950,0.016112,0.961212,0.329825,0.585659,0.022335
1005.000000,625.000000,0.000000,0.003218,0.010198,0.974873,0.369820,0.592098,0.014752
1005.000000,675.000000,0.000000,0.001073,0.004092,0.990347,0.410369,0.662955,0.005542
1005.000000,725.000000,0.000000,0.000578,0.002156,0.994172,0.453687,0.641511,0.003543
1005.000000,775.000000,0.000000,0.000413,0.001358,0.996463,0.614266,0.813776,0.002122
1005.000000,825.000000,0.000000,0.000165,0.000721,0.998251,0.704639,0.986720,0.001024
1005.000000,875.000000,0.000000,0.000000,0.000000,1.000000,-1.000000,-1.000000,0.000000
